idAsignacion;idChangueador;idTarea;precioUSD;fechaInicio;fechaFin

1;1;1;15;01/01/2025;01/01/3000
2;1;11;20;01/01/2025;01/01/3000
3;2;3;10;01/01/2025;01/01/3000
4;2;15;18;01/01/2025;01/01/3000
5;3;6;20;01/01/2025;01/01/3000
6;3;5;25;01/01/2025;01/01/3000
7;4;10;30;01/01/2025;01/01/3000
8;5;5;18;01/01/2025;01/01/3000
9;5;17;22;01/01/2025;01/01/3000
10;6;4;15;01/01/2025;01/01/3000
11;7;7;18;01/01/2025;01/01/3000
12;7;8;12;01/01/2025;01/01/3000
13;8;13;12;01/01/2025;01/01/3000
14;8;14;25;01/01/2025;01/01/3000
15;9;9;10;01/01/2025;01/01/3000
16;9;20;15;01/01/2025;01/01/3000
17;10;16;30;01/01/2025;01/01/3000
18;10;17;28;01/01/2025;01/01/3000

19;11;1;12;01/01/2025;31/12/2025
20;11;2;15;01/01/2025;31/12/2025

21;12;2;18;01/01/2025;01/01/3000
22;12;11;16;01/01/2025;01/01/3000

23;13;3;9;01/01/2025;31/12/2025
24;13;4;12;01/01/2025;31/12/2025

25;14;18;22;01/01/2025;01/01/3000
26;14;19;15;01/01/2025;01/01/3000

27;15;20;14;01/01/2025;01/01/3000
28;15;9;12;01/01/2025;01/01/3000

29;16;10;35;01/01/2025;01/01/3000

30;17;6;18;01/01/2025;31/12/2025

31;18;15;20;01/01/2025;01/01/3000
32;18;3;11;01/01/2025;01/01/3000

33;19;13;10;01/01/2025;01/01/3000
34;19;14;18;01/01/2025;01/01/3000

35;20;16;35;01/01/2025;01/01/3000

36;21;11;18;01/01/2025;01/01/3000
37;21;12;25;01/01/2025;01/01/3000

38;22;4;14;01/01/2025;01/01/3000

39;23;7;15;01/01/2025;31/12/2025

40;24;8;12;01/01/2025;01/01/3000
41;24;19;14;01/01/2025;01/01/3000

42;25;18;24;01/01/2025;01/01/3000
43;25;20;16;01/01/2025;01/01/3000

44;1;1;12;01/01/2024;31/12/2024
45;1;1;15;01/01/2025;01/01/3000

46;3;6;18;01/01/2024;31/12/2024
47;3;6;20;01/01/2025;01/01/3000

48;5;5;15;01/01/2024;31/12/2024
49;5;5;18;01/01/2025;01/01/3000

50;8;13;10;01/01/2024;31/12/2024
51;8;13;12;01/01/2025;01/01/3000

52;14;18;18;01/01/2024;31/12/2024
53;14;18;22;01/01/2025;01/01/3000

54;20;16;30;01/01/2024;31/12/2024
55;20;16;35;01/01/2025;01/01/3000
